Name,Symbol,Price (USD),Volume (USD),Market capacity (USD),Change (1h),Change (24h),Change (7d)
Bitcoin,BTC,"$47,488.32","$40,250,869,163","$885,482,940,709",-1.47%,0.39%,1.25%
Ethereum,ETH,"$1,530.49","$19,858,513,394","$175,910,880,127",-2.34%,3.94%,4.77%
Tether,USDT,$1,"$73,415,432,828","$36,429,821,991",0.02%,-0.05%,-0.03%
Cardano,ADA,$1.10,"$5,318,311,323","$35,100,623,336",-2.04%,-1.87%,-20.83%
Binance Coin,BNB,$221.23,"$4,675,516,648","$34,186,696,374",-1.83%,-0.74%,-2.41%
Polkadot,DOT,$32.46,"$2,152,113,391","$29,724,683,690",-2.27%,-0.91%,-6.04%
XRP,XRP,$0.4547,"$3,174,499,475","$20,643,086,786",-2.10%,-0.51%,4.06%
Uniswap,UNI,$27.41,"$813,727,667","$14,282,373,708",-2.90%,1.46%,14.54%
Litecoin,LTC,$176.43,"$4,007,629,536","$11,751,262,273",-2.00%,1.94%,2.09%
Chainlink,LINK,$26.58,"$1,170,650,236","$10,937,911,953",-2.39%,0.17%,3.87%
Bitcoin Cash,BCH,$486.22,"$2,622,473,973","$9,078,787,955",-2.01%,0.02%,0.10%
Stellar,XLM,$0.3951,"$665,705,918","$8,917,647,762",-1.27%,0.10%,-10.63%
USD Coin,USDC,$1.00,"$1,546,143,932","$8,766,890,865",0.00%,-0.02%,-0.01%
NEM,XEM,$0.7184,"$660,174,190","$6,465,929,562",-5.11%,1.28%,34.55%
Dogecoin,DOGE,$0.04987,"$1,546,795,503","$6,415,850,649",-1.25%,1.45%,0.29%
Wrapped Bitcoin,WBTC,"$47,453.75","$121,206,371","$5,920,784,079",-1.99%,0.42%,0.86%
Aave,AAVE,$355.97,"$248,917,149","$4,423,665,020",-2.81%,1.73%,5.12%
Cosmos,ATOM,$18.45,"$362,923,202","$3,899,735,693",-1.55%,-1.66%,-8.26%
THETA,THETA,$3.89,"$205,434,319","$3,894,988,581",-2.75%,-9.87%,21.75%
IOTA,MIOTA,$1.32,"$216,594,958","$3,657,720,163",-0.25%,-4.82%,9.19%
Crypto.com Coin,CRO,$0.1502,"$166,144,010","$3,625,922,691",-2.34%,1.72%,-0.52%
Monero,XMR,$199.81,"$634,047,675","$3,567,856,928",-1.04%,-3.31%,-7.32%
TRON,TRX,$0.04915,"$1,246,784,690","$3,522,233,510",-1.77%,-0.99%,4.47%
EOS,EOS,$3.65,"$1,873,750,099","$3,469,157,072",-1.68%,0.11%,-0.23%
Bitcoin SV,BSV,$178.78,"$536,103,706","$3,337,889,880",-1.05%,-0.09%,-2.03%
Terra,LUNA,$8.18,"$514,632,089","$3,318,385,494",-3.82%,5.77%,37.78%
Binance USD,BUSD,$0.9998,"$2,683,067,835","$3,228,516,398",-0.01%,-0.01%,-0.01%
VeChain,VET,$0.04989,"$478,699,724","$3,208,493,525",-3.87%,2.00%,21.15%
Solana,SOL,$11.91,"$82,883,161","$3,120,093,085",-1.42%,-4.31%,-14.74%
Tezos,XTZ,$3.76,"$390,938,598","$2,868,973,046",-3.68%,1.01%,4.63%
